,county,station,temp
0,Galway,ATHENRY,15.3
1,Galway,ATHENRY,14.7
2,Galway,ATHENRY,14.3
3,Galway,ATHENRY,14.4
4,Galway,ATHENRY,14.4
5,Galway,ATHENRY,14.9
6,Galway,ATHENRY,15.1
7,Galway,ATHENRY,15.2
8,Galway,ATHENRY,16.1
9,Galway,ATHENRY,16.8
10,Galway,ATHENRY,17.6
11,Galway,ATHENRY,19.4
12,Galway,ATHENRY,19.7
13,Galway,ATHENRY,17.2
14,Galway,ATHENRY,14.9
15,Galway,ATHENRY,14.3
16,Galway,ATHENRY,14.7
17,Galway,ATHENRY,14.0
18,Galway,ATHENRY,13.7
19,Galway,ATHENRY,13.1
20,Galway,ATHENRY,12.4
21,Galway,ATHENRY,11.8
22,Galway,ATHENRY,10.9
23,Galway,ATHENRY,10.3
24,Galway,ATHENRY,10.4
25,Galway,ATHENRY,10.2
26,Galway,ATHENRY,10.1
27,Galway,ATHENRY,9.7
28,Galway,ATHENRY,9.8
29,Galway,ATHENRY,10.1
30,Galway,ATHENRY,11.0
31,Galway,ATHENRY,11.9
32,Galway,ATHENRY,12.5
33,Galway,ATHENRY,13.1
34,Galway,ATHENRY,13.4
35,Galway,ATHENRY,14.4
36,Galway,ATHENRY,14.9
37,Galway,ATHENRY,14.8
38,Galway,ATHENRY,15.9
39,Galway,ATHENRY,14.8
40,Galway,ATHENRY,15.4
41,Galway,ATHENRY,15.1
42,Galway,ATHENRY,14.2
43,Galway,ATHENRY,12.8
44,Galway,ATHENRY,10.8
45,Galway,ATHENRY,9.4
46,Galway,ATHENRY,8.4
47,Galway,ATHENRY,6.7
48,Galway,ATHENRY,5.8
49,Galway,ATHENRY,6.1
50,Galway,ATHENRY,5.5
51,Galway,ATHENRY,6.0
52,Galway,ATHENRY,6.2
53,Galway,ATHENRY,8.5
54,Galway,ATHENRY,10.2
55,Galway,ATHENRY,11.6
56,Galway,ATHENRY,12.9
57,Galway,ATHENRY,13.8
58,Galway,ATHENRY,14.8
59,Galway,ATHENRY,15.2
60,Galway,ATHENRY,15.0
61,Galway,ATHENRY,15.2
62,Galway,ATHENRY,15.0
63,Galway,ATHENRY,14.8
64,Galway,ATHENRY,14.3
65,Galway,ATHENRY,13.9
66,Galway,ATHENRY,13.3
67,Galway,ATHENRY,12.5
68,Galway,ATHENRY,11.7
69,Galway,ATHENRY,11.2
70,Galway,ATHENRY,10.0
71,Galway,ATHENRY,9.6
72,Galway,ATHENRY,8.7
73,Galway,ATHENRY,9.4
74,Galway,ATHENRY,8.9
75,Galway,ATHENRY,8.8
76,Galway,ATHENRY,8.5
77,Galway,ATHENRY,10.0
78,Galway,ATHENRY,11.8
79,Galway,ATHENRY,12.7
80,Galway,ATHENRY,10.7
81,Galway,ATHENRY,12.8
82,Galway,ATHENRY,12.7
83,Galway,ATHENRY,13.9
84,Galway,ATHENRY,13.0
85,Galway,ATHENRY,13.4
86,Galway,ATHENRY,13.5
87,Galway,ATHENRY,14.3
88,Galway,ATHENRY,14.1
89,Galway,ATHENRY,13.4
90,Galway,ATHENRY,12.5
91,Galway,ATHENRY,12.4
92,Galway,ATHENRY,11.2
93,Galway,ATHENRY,11.2
94,Galway,ATHENRY,10.8
95,Galway,ATHENRY,10.5
96,Galway,ATHENRY,10.6
97,Galway,ATHENRY,10.2
98,Galway,ATHENRY,10.6
99,Galway,ATHENRY,10.8
100,Galway,ATHENRY,10.6
101,Galway,ATHENRY,10.9
102,Galway,ATHENRY,11.6
103,Galway,ATHENRY,12.8
104,Galway,ATHENRY,13.9
105,Galway,ATHENRY,13.4
106,Galway,ATHENRY,14.7
107,Galway,ATHENRY,16.2
108,Galway,ATHENRY,13.9
109,Galway,ATHENRY,13.4
110,Galway,ATHENRY,13.4
111,Galway,ATHENRY,13.8
112,Galway,ATHENRY,14.8
113,Galway,ATHENRY,13.9
114,Galway,ATHENRY,13.3
115,Galway,ATHENRY,12.9
116,Galway,ATHENRY,12.3
117,Galway,ATHENRY,11.2
118,Galway,ATHENRY,10.7
119,Galway,ATHENRY,10.8
120,Galway,ATHENRY,10.2
121,Galway,ATHENRY,10.2
122,Galway,ATHENRY,10.3
123,Galway,ATHENRY,10.3
124,Galway,ATHENRY,9.6
125,Galway,ATHENRY,10.6
126,Galway,ATHENRY,11.9
127,Galway,ATHENRY,13.0
128,Galway,ATHENRY,13.2
129,Galway,ATHENRY,14.7
130,Galway,ATHENRY,14.4
131,Galway,ATHENRY,15.8
132,Galway,ATHENRY,16.3
133,Galway,ATHENRY,17.2
134,Galway,ATHENRY,16.8
135,Galway,ATHENRY,16.7
136,Galway,ATHENRY,17.0
137,Galway,ATHENRY,16.8
138,Galway,ATHENRY,15.1
139,Galway,ATHENRY,14.4
140,Galway,ATHENRY,13.3
141,Galway,ATHENRY,11.9
142,Galway,ATHENRY,10.6
143,Galway,ATHENRY,10.9
144,Galway,ATHENRY,9.9
145,Galway,ATHENRY,9.4
146,Galway,ATHENRY,9.4
147,Galway,ATHENRY,8.5
148,Galway,ATHENRY,9.2
149,Galway,ATHENRY,10.5
150,Galway,ATHENRY,12.2
151,Galway,ATHENRY,13.5
152,Galway,ATHENRY,13.9
153,Galway,ATHENRY,14.6
154,Galway,ATHENRY,16.0
155,Galway,ATHENRY,16.9
156,Galway,ATHENRY,17.8
157,Galway,ATHENRY,17.5
158,Galway,ATHENRY,18.0
159,Galway,ATHENRY,18.8
160,Galway,ATHENRY,17.4
161,Galway,ATHENRY,16.9
162,Galway,ATHENRY,15.2
163,Galway,ATHENRY,14.2
164,Galway,ATHENRY,13.5
165,Galway,ATHENRY,11.9
166,Galway,ATHENRY,10.9
167,Galway,ATHENRY,11.9
168,Galway,ATHENRY,12.3
169,Galway,ATHENRY,12.1
170,Galway,ATHENRY,11.0
171,Galway,ATHENRY,9.2
172,Galway,ATHENRY,9.7
173,Galway,ATHENRY,11.2
174,Galway,ATHENRY,13.1
175,Galway,ATHENRY,14.6
176,Galway,ATHENRY,15.6
177,Galway,ATHENRY,16.8
178,Galway,ATHENRY,17.3
179,Galway,ATHENRY,17.3
180,Galway,ATHENRY,17.9
181,Galway,ATHENRY,18.0
182,Galway,ATHENRY,18.1
183,Galway,ATHENRY,17.8
184,Galway,ATHENRY,17.8
185,Galway,ATHENRY,16.7
186,Galway,ATHENRY,15.6
187,Galway,ATHENRY,15.0
188,Galway,ATHENRY,13.9
189,Galway,ATHENRY,12.5
190,Galway,ATHENRY,12.6
191,Galway,ATHENRY,12.8
192,Galway,ATHENRY,12.9
193,Galway,ATHENRY,12.2
194,Galway,ATHENRY,12.2
195,Galway,ATHENRY,11.8
196,Galway,ATHENRY,11.9
197,Galway,ATHENRY,12.3
198,Galway,ATHENRY,12.7
199,Galway,ATHENRY,14.3
200,Galway,ATHENRY,15.7
201,Galway,ATHENRY,17.3
202,Galway,ATHENRY,17.3
203,Galway,ATHENRY,17.7
204,Galway,ATHENRY,18.8
205,Galway,ATHENRY,20.0
206,Galway,ATHENRY,19.2
207,Galway,ATHENRY,18.7
208,Galway,ATHENRY,18.4
209,Galway,ATHENRY,17.5
210,Galway,ATHENRY,16.3
211,Galway,ATHENRY,16.4
212,Galway,ATHENRY,16.1
213,Galway,ATHENRY,15.3
214,Galway,ATHENRY,14.4
215,Galway,ATHENRY,14.0
216,Galway,ATHENRY,15.2
217,Galway,ATHENRY,15.0
218,Galway,ATHENRY,14.5
219,Galway,ATHENRY,15.1
220,Galway,ATHENRY,15.1
221,Galway,ATHENRY,14.7
222,Galway,ATHENRY,15.8
223,Galway,ATHENRY,13.6
224,Galway,ATHENRY,14.2
225,Galway,ATHENRY,15.9
226,Galway,ATHENRY,14.8
227,Galway,ATHENRY,16.4
228,Galway,ATHENRY,17.3
229,Galway,ATHENRY,15.3
230,Galway,ATHENRY,13.8
231,Galway,ATHENRY,13.1
232,Galway,ATHENRY,13.9
233,Galway,ATHENRY,13.8
234,Galway,ATHENRY,13.3
235,Galway,ATHENRY,13.1
236,Galway,ATHENRY,12.1
237,Galway,ATHENRY,11.2
238,Galway,ATHENRY,9.8
239,Galway,ATHENRY,8.6
240,Galway,ATHENRY,8.5
241,Galway,ATHENRY,7.8
242,Galway,ATHENRY,7.0
243,Galway,ATHENRY,7.1
244,Galway,ATHENRY,7.1
245,Galway,ATHENRY,8.5
246,Galway,ATHENRY,11.4
247,Galway,ATHENRY,13.0
248,Galway,ATHENRY,13.9
249,Galway,ATHENRY,13.4
250,Galway,ATHENRY,13.5
251,Galway,ATHENRY,13.0
252,Galway,ATHENRY,12.8
253,Galway,ATHENRY,12.2
254,Galway,ATHENRY,12.1
255,Galway,ATHENRY,11.9
256,Galway,ATHENRY,11.9
257,Galway,ATHENRY,12.8
258,Galway,ATHENRY,12.6
259,Galway,ATHENRY,12.0
260,Galway,ATHENRY,11.6
261,Galway,ATHENRY,11.5
262,Galway,ATHENRY,11.8
263,Galway,ATHENRY,11.8
264,Galway,ATHENRY,11.4
265,Galway,ATHENRY,11.3
266,Galway,ATHENRY,11.5
267,Galway,ATHENRY,11.2
268,Galway,ATHENRY,11.5
269,Galway,ATHENRY,11.9
270,Galway,ATHENRY,11.5
271,Galway,ATHENRY,11.8
272,Galway,ATHENRY,11.9
273,Galway,ATHENRY,12.9
274,Galway,ATHENRY,13.2
275,Galway,ATHENRY,13.7
276,Galway,ATHENRY,13.7
277,Galway,ATHENRY,13.2
278,Galway,ATHENRY,13.5
279,Galway,ATHENRY,13.0
280,Galway,ATHENRY,12.7
281,Galway,ATHENRY,12.7
282,Galway,ATHENRY,12.6
283,Galway,ATHENRY,12.2
284,Galway,ATHENRY,11.8
285,Galway,ATHENRY,11.6
286,Galway,ATHENRY,11.2
287,Galway,ATHENRY,11.2
288,Galway,ATHENRY,11.3
289,Galway,ATHENRY,11.1
290,Galway,ATHENRY,10.9
291,Galway,ATHENRY,10.8
292,Galway,ATHENRY,10.8
293,Galway,ATHENRY,10.7
294,Galway,ATHENRY,11.4
295,Galway,ATHENRY,12.1
296,Galway,ATHENRY,13.1
297,Galway,ATHENRY,14.3
298,Galway,ATHENRY,15.7
299,Galway,ATHENRY,15.6
300,Galway,ATHENRY,16.3
301,Galway,ATHENRY,14.3
302,Galway,ATHENRY,15.4
303,Galway,ATHENRY,14.9
304,Galway,ATHENRY,15.1
305,Galway,ATHENRY,15.2
306,Galway,ATHENRY,16.0
307,Galway,ATHENRY,15.2
308,Galway,ATHENRY,14.0
309,Galway,ATHENRY,12.9
310,Galway,ATHENRY,12.6
311,Galway,ATHENRY,11.7
312,Galway,ATHENRY,10.7
313,Galway,ATHENRY,10.3
314,Galway,ATHENRY,10.3
315,Galway,ATHENRY,10.0
316,Galway,ATHENRY,9.6
317,Galway,ATHENRY,10.1
318,Galway,ATHENRY,11.5
319,Galway,ATHENRY,13.9
320,Galway,ATHENRY,15.3
321,Galway,ATHENRY,15.9
322,Galway,ATHENRY,17.1
323,Galway,ATHENRY,16.4
324,Galway,ATHENRY,17.0
325,Galway,ATHENRY,16.5
326,Galway,ATHENRY,16.4
327,Galway,ATHENRY,15.5
328,Galway,ATHENRY,15.5
329,Galway,ATHENRY,15.1
330,Galway,ATHENRY,15.6
331,Galway,ATHENRY,15.2
332,Galway,ATHENRY,13.5
333,Galway,ATHENRY,12.5
334,Galway,ATHENRY,11.1
335,Galway,ATHENRY,9.6
336,Galway,ATHENRY,8.7
337,Galway,ATHENRY,9.7
338,Galway,ATHENRY,9.5
339,Galway,ATHENRY,9.9
340,Galway,ATHENRY,9.7
341,Galway,ATHENRY,11.2
342,Galway,ATHENRY,12.1
343,Galway,ATHENRY,13.4
344,Galway,ATHENRY,14.5
345,Galway,ATHENRY,15.9
346,Galway,ATHENRY,16.2
347,Galway,ATHENRY,16.1
348,Galway,ATHENRY,16.5
349,Galway,ATHENRY,16.7
350,Galway,ATHENRY,16.7
351,Galway,ATHENRY,16.8
352,Galway,ATHENRY,16.5
353,Galway,ATHENRY,15.6
354,Galway,ATHENRY,16.3
355,Galway,ATHENRY,15.8
356,Galway,ATHENRY,14.5
357,Galway,ATHENRY,13.3
358,Galway,ATHENRY,12.3
359,Galway,ATHENRY,12.1
360,Galway,ATHENRY,12.1
361,Galway,ATHENRY,11.7
362,Galway,ATHENRY,11.4
363,Galway,ATHENRY,11.1
364,Galway,ATHENRY,11.1
365,Galway,ATHENRY,11.4
366,Galway,ATHENRY,11.8
367,Galway,ATHENRY,12.4
368,Galway,ATHENRY,14.0
369,Galway,ATHENRY,15.4
370,Galway,ATHENRY,16.1
371,Galway,ATHENRY,17.0
372,Galway,ATHENRY,17.9
373,Galway,ATHENRY,18.4
374,Galway,ATHENRY,18.0
375,Galway,ATHENRY,17.8
376,Galway,ATHENRY,17.2
377,Galway,ATHENRY,17.1
378,Galway,ATHENRY,16.4
379,Galway,ATHENRY,15.1
380,Galway,ATHENRY,13.9
381,Galway,ATHENRY,13.1
382,Galway,ATHENRY,12.4
383,Galway,ATHENRY,11.6
384,Galway,ATHENRY,11.5
385,Galway,ATHENRY,11.0
386,Galway,ATHENRY,10.5
387,Galway,ATHENRY,10.8
388,Galway,ATHENRY,11.0
389,Galway,ATHENRY,11.1
390,Galway,ATHENRY,11.6
391,Galway,ATHENRY,13.3
392,Galway,ATHENRY,15.0
393,Galway,ATHENRY,16.8
394,Galway,ATHENRY,18.3
395,Galway,ATHENRY,18.5
396,Galway,ATHENRY,18.7
397,Galway,ATHENRY,19.4
398,Galway,ATHENRY,20.0
399,Galway,ATHENRY,19.9
400,Galway,ATHENRY,19.5
401,Galway,ATHENRY,18.5
402,Galway,ATHENRY,18.2
403,Galway,ATHENRY,17.7
404,Galway,ATHENRY,16.2
405,Galway,ATHENRY,15.0
406,Galway,ATHENRY,14.5
407,Galway,ATHENRY,14.1
408,Galway,ATHENRY, 
409,Galway,ATHENRY, 
410,Galway,ATHENRY, 
411,Galway,ATHENRY, 
412,Galway,ATHENRY, 
413,Galway,ATHENRY, 
414,Galway,ATHENRY, 
415,Galway,ATHENRY, 
416,Galway,ATHENRY, 
417,Galway,ATHENRY, 
418,Galway,ATHENRY, 
419,Galway,ATHENRY, 
420,Galway,ATHENRY, 
421,Galway,ATHENRY, 
422,Galway,ATHENRY, 
423,Galway,ATHENRY, 
424,Galway,ATHENRY, 
425,Galway,ATHENRY, 
426,Galway,ATHENRY, 
427,Galway,ATHENRY, 
428,Galway,ATHENRY, 
429,Galway,ATHENRY, 
430,Galway,ATHENRY, 
431,Galway,ATHENRY,13.9
432,Galway,ATHENRY,12.6
433,Galway,ATHENRY,11.6
434,Galway,ATHENRY,11.1
435,Galway,ATHENRY,10.5
436,Galway,ATHENRY,11.0
437,Galway,ATHENRY,11.7
438,Galway,ATHENRY,12.7
439,Galway,ATHENRY,15.0
440,Galway,ATHENRY,15.9
441,Galway,ATHENRY,16.6
442,Galway,ATHENRY,16.2
443,Galway,ATHENRY,16.1
444,Galway,ATHENRY,16.0
445,Galway,ATHENRY,15.2
446,Galway,ATHENRY,17.0
447,Galway,ATHENRY,17.7
448,Galway,ATHENRY,16.5
449,Galway,ATHENRY,16.7
450,Galway,ATHENRY,15.5
451,Galway,ATHENRY,14.8
452,Galway,ATHENRY,14.2
453,Galway,ATHENRY,13.9
454,Galway,ATHENRY,13.6
455,Galway,ATHENRY,13.2
456,Galway,ATHENRY,12.7
457,Galway,ATHENRY,12.8
458,Galway,ATHENRY,12.6
459,Galway,ATHENRY,12.5
460,Galway,ATHENRY,12.5
